price,drug,note,catalyst,ticker,stage
29.05,TECENTRIQ (atezolizumab) plus chemotherapy (carboplatin and Abraxane) - IMpower132,Phase 3 data due 1H 2018  (overdue - shifted to 3Q in calendar).,09/30/2018,RHHBY,Phase 3
100.14,GLPG 2451+2222+2737 - FALCON open label,"Phase 2 initiation announced April 24, 2018. Top-line data due 3Q 2018.",09/30/2018,GLPG,Phase 2
2.90,TIVO-3 - tivozanib,Phase 3 top-line data due 3Q 2018.,09/30/2018,AVEO,Phase 3
16.90,SNA-001,Phase 3 data due 3Q and 4Q 2018.,09/30/2018,SNNA,Phase 3
15.15,Dasiglucagon,"Phase 3 completion of dosing announced May 29, 2018. Data due 3Q 2018.",09/30/2018,ZEAL,Phase 3
42.20,Bardoxolone - PHOENIX,Phase 2 full data for primary endpoint due 3Q 2018.,09/30/2018,RETA,Phase 2
36.90,WVE-210201,Phase 1 top-line safety data due 3Q 2018.,09/30/2018,WVE,Phase 1
26.99,Zilretta - FX006 repeat,Phase 3 data due 3Q 2018.,09/30/2018,FLXN,Phase 3
16.90,SNA-125,"Phase 1/2 commencement of dosing announced February 14, 2018 with top-line data due 3Q 2018.",09/30/2018,SNNA,Phase 1/2
37.53,Dacomitinib,PDUFA under priority review September 2018. Exact date not provided.,09/30/2018,PFE,PDUFA priority review
3.95,TNX-102 SL,"Initiation of first of two Phase 3 trials announced March 28, 2017 in military-related PTSD 1Q 2017. Interim analysis due 3Q 2018 with top-line data due 1Q 2019.",09/30/2018,TNXP,Phase 3
0.21,Bertilimumab,Phase 2/3 trial planned for 2019. Phase 2a PK data due 3Q 2018.,09/30/2018,IMNP,Phase 2
12.33,LX2761,Phase 1b data due 3Q 2018.,09/30/2018,LXRX,Phase 1b
7.31,E2112,Phase 3 PFS data due 3Q 2018.,09/30/2018,SNDX,Phase 3
18.95,APL-2 subcutaneous,Phase 2 monotherapy data due 1H 2018  (overdue - shifted to 3Q in the calendar).,09/30/2018,APLS,Phase 2
8.32,1404,"Phase 3 completion of enrollment announced January 2, 2017. Top-line data due 3Q 2018.",09/30/2018,PGNX,Phase 3
6.19,BCX7353 - ZENITH-1,"Phase 2 initiation announced August 2, 2017. Top-line data from first cohort due 3Q 2018.",09/30/2018,BCRX,Phase 2
20.53,NSR-RPGR,Phase 1/2 preliminary data due 3Q 2018.,09/30/2018,NITE,Phase 1/2
44.18,Olorinab (APD371),Phase 2 data due 3Q 2018.,09/30/2018,ARNA,Phase 2
123.05,EDP-938,Phase 2 trial to be initiated in 4Q 2018. Phase 1 data due 3Q 2018.,09/30/2018,ENTA,Phase 1
18.51,KX-01 (KX2-391) Ointment,"Phase 3 completion of enrollment announced February 14, 2018. Data due 3Q 2018.",09/30/2018,ATNX,Phase 3
18.51,Oraxol,Phase 3 second interim analysis due 3Q 2018.,09/30/2018,ATNX,Phase 3
42.35,Bempedoic acid - CLEAR LDL-C Lowering Program 1002-047,"Phase 3 data due September, 2018.",09/30/2018,ESPR,Phase 3
49.88,Concizumab - explorer,Phase 2 Explorer 5 data due 3Q 2018.,09/30/2018,NVO,Phase 2
5.78,MSC-100-IV,"Phase 3 data released February 22, 2018 - primary endpoint met. Day 180-day survival data due 3Q 2018.",09/30/2018,MESO,Phase 3
71.51,ANB020,Phase 2a data due 3Q 2018.,09/30/2018,ANAB,Phase 2a
0.57,EGP-437,Phase 3 data due 3Q 2018.,09/30/2018,EYEG,Phase 3
3.06,GEN-1 OVATION 1,Final Phase 1b PFS data to be reported 2Q 2018  (overdue - shifted to 3Q in calendar).,09/30/2018,CLSN,Phase 1b
84.97,SPK-8011,Phase 1/2 data released at ASH 2017 - promising reductions in bleeding shown but lower levels of Factor VII. Updated data due 3Q 2018.,09/30/2018,ONCE,Phase 1/2
15.75,ATB200,"Phase 1/2 additional data released February 15, 2017, May 15, 2017 and October 4, 2017. Further update February 8, 2018. US regulatory update due 3Q 2018.",09/30/2018,FOLD,Phase 1/2
5.80,FMX101 - FX2017-22,"Phase 3 data released March 27, 2017 - three of four primary endpoints met across two trials. Enrollment of third Phase 3 trial completed - noted May 7, 2018, with data due 3Q 2018.",09/30/2018,FOMX,Phase 3
1.02,PL-8177,Phase 1 data due 3Q 2018.,09/30/2018,PTN,Phase 1
2.91,SB414,Phase 1b data due 3Q 2018.,09/30/2018,NOVN,Phase 1b
0.30,AM-125,Phase 1 data due 3Q 2018.,09/30/2018,EARS,Phase 1
3.05,Vascepa REDUCE-IT outcomes trial,Data due before the end of 3Q 2018.,09/30/2018,AMRN,Phase 3
3.62,Imetelstat - IMbarkStudy,Phase 2 primary analysis due 3Q 2018.,09/30/2018,GERN,Phase 2
125.93,Imetelstat - IMbarkStudy,Phase 2 primary analysis due 3Q 2018.,09/30/2018,JNJ,Phase 2
2.85,PTI-801,"Phase 1 additional data released June 6, 2018. Final data due 3Q 2018.",09/30/2018,PTI,Phase 1
10.40,TPIV200,Phase 2 interim response data due 3Q 2018.,09/30/2018,TPIV,Phase 2
29.27,AB122,Phase 1 data due 3Q 2018.,09/30/2018,RDUS,Phase 1
13.33,SEL-212,Phase 2 five-monthly dose data due 3Q 2018.,09/30/2018,SELB,Phase 2
2.49,NeoCart,"Phase 3 completion of enrollment announced June 27, 2017. Top-line data and potential BLA filing 3Q 2018.",09/30/2018,HSGX,Phase 3
0.51,NasoVAX,Phase 2 additional data due 3Q 2018.,09/30/2018,ALT,Phase 2
11.00,OV101 (STARS),First patient randomized February 2017. Data due 3Q 2018.,09/30/2018,OVID,Phase 2
107.47,Givosiran,"Phase 3 trial initiation announced November 7, 2017 with interim analysis due September 2018.",09/30/2018,ALNY,Phase 3
29.05,Hemlibra,"PDUFA date under priority review October 4, 2018.",10/04/2018,RHHBY,PDUFA priority review
8.50,Duvelisib - DUO,"Phase 3 data released September 6, 2017 - PFS primary endpoint met. Noted at ASH 2017 that OS secondary endpoint not met. PDUFA date under priority review October 5, 2018.",10/05/2018,VSTM,PDUFA priority review
29.80,INBRIJA (CVT-301),"Phase 3 data released February 9, 2017 - primary endpoint met. NDA filing announced June 29, 2017. However, FDA issued a Refuse-To-File letter August 30, 2017. New PDUFA date October 5, 2018.",10/05/2018,ACOR,PDUFA
23.40,IDP-122,"PDUFA date October 5, 2018.",10/05/2018,VRX,PDUFA
45.24,Inotersen (IONIS-TTRRx),"Phase 3 data released May 15, 2017 - primary endpoint met but with safety concerns. Data presented November 2, 2017. PDUFA date under priority review extended to October 6, 2018.",10/06/2018,IONS,PDUFA priority review
62.89,KEYTRUDA - EORTC1325/KEYNOTE-054,"PDUFA date for sBLA under priority review October 6, 2018.",10/06/2018,MRK,PDUFA priority review
62.89,GARDASIL 9,"PDUFA date for sBLA under priority review October 6, 2018.",10/08/2018,MRK,PDUFA priority review
48.53,Rucaparib - TRITON2,Phase 2 initial data to be presented at ESMO in October 2018.,10/16/2018,CLVS,Phase 2
10.65,Sarecycline,"PDUFA date 4Q 2018. Exact date not provided by company. Estimate October 19, 2018 based on NDA acceptance date of December 20, 2017.",10/19/2018,PRTK,PDUFA
177.15,Sarecycline,"PDUFA date 4Q 2018. Exact date not provided by company. Estimate October 19, 2018 based on NDA acceptance date of December 20, 2017.",10/19/2018,AGN,PDUFA
367.64,Dupixent (dupilumab) - LIBERTY ASTHMA QUEST,"Phase 3 data released September 11, 2017 - primary endpoints met. 46% improvement after 52 weeks in 300 mg group. PDUFA date October 20, 2018.",10/20/2018,REGN,PDUFA
41.93,Dupixent (dupilumab) - LIBERTY ASTHMA QUEST,"Phase 3 data released September 11, 2017 - primary endpoints met. 46% improvement after 52 weeks in 300 mg group. PDUFA date October 20, 2018.",10/20/2018,SNY,PDUFA
62.89,Doravirine (MK-1439),"Phase 3 trial met primary endpoint - February 14, 2017. PDUFA date October 23, 2018.",10/23/2018,MRK,PDUFA
175.98,Xyrem,"PDUFA date for sNDA filng under priority review October 27, 2018.",10/27/2018,JAZZ,PDUFA priority review
2.33,OpRegen,"Interim readout 2018 - cohort 4 at AAO Oct. 27 - 30, 2018.",10/27/2018,BTX,Phase 1/2
6.68,TX-001HR,"PDUFA date October 28, 2018.",10/28/2018,TXMD,PDUFA
367.64,Cemiplimab,"PDUFA data under priority review October 28, 2018.",10/28/2018,REGN,PDUFA priority review
41.93,Cemiplimab,"PDUFA data under priority review October 28, 2018.",10/28/2018,SNY,PDUFA priority review
62.89,KEYTRUDA + carboplatin-paclitaxel or nab-paclitaxel KEYNOTE-407,"PDUFA date under priority review October 30, 2018.",10/30/2018,MRK,PDUFA priority review
2.67,MS1819-SD,Phase 2a data and Phase 2b initiation due fall of 2018.,10/31/2018,AZRX,Phase 2
49.25,Sitravatinib,Phase 1b update due fall of 2018.,10/31/2018,MRTX,Phase 1b
14.92,Enobosarm,"Phase 2 completion of enrollment announced April 9, 2018. Top-line data due early 4Q 2018.",10/31/2018,GTXI,Phase 2
2.43,SNS-062,"Phase 1/2 initiation of dosing announced July 18, 2017. Interim data due fall of 2018.",10/31/2018,SNSS,Phase 1/2
5.80,FMX103,"Phase 3 completion of enrollment announced June 27, 2018 with top-line data due early 4Q 2018.",10/31/2018,FOMX,Phase 3
79.66,Fulvestrant,"Pivotal trial initiation announced December 7, 2017. Data due fall of 2018.",10/31/2018,EGRX,Phase 3
0.51,HepTCell,Phase 1 data due early 4Q 2018.,10/31/2018,ALT,Phase 1
78.78,Promacta (eltrombopag),"Announced May 30, 2018 that sNDA accepted for priority review. No PDUFA date given. Estimate early 4Q 2018.",10/31/2018,NVS,PDUFA priority review
49.25,Sitravatinib plus nivolumab,Phase 2 update fall of 2018.,10/31/2018,MRTX,Phase 2
96.63,IMBRUVICA (ibrutinib),"sNDA accepted June 25, 2018. PDUFA date under priority review granted.",11/01/2018,ABBV,PDUFA priority review
125.93,IMBRUVICA (ibrutinib),"sNDA accepted June 25, 2018. PDUFA date under priority review granted.",11/01/2018,JNJ,PDUFA priority review
1.50,Oliceridine (TRV130),"Phase 3 APOLLO-1 and APOLLO-2 data released February 21, 2017 - primary endpoints met. PDUFA date November 2, 2018. Advisory Committee Meeting likely.",11/02/2018,TRVN,PDUFA
